日期,開始時間,結束時間,活動摘要,地點,描述/備註,來源日曆
2025-09-20,03:20,06:20,飛濟州,,26° / 20°車rule：https://youtu.be/IgMUtT92R3Q?si=HTYvBgSEewNnvyRH&amp\;t=44,旅行
2025-09-20,07:00,07:30,EggDrop濟州機場店,"EggDrop濟州機場店, 2 Gonghang-ro, 특별자치도, Cheju, Jeju-do, 大韓民國",https://naver.me/5HkaVlKv,旅行
2025-09-20,07:30,08:30,租車,"SK Rent-a-Car, 730-10 Yongdam 2(i)-dong, 특별자치도 Cheju, Jeju-do, 大韓民國","sk 렌터카https://homepage.skdirect.co.kr/en/mypageguide：https://homepage.skdirect.co.kr/en/useGuide/branchStore/jeju[SK Rent-a-Car]Your reservation is successfully madePickup Date :2025-09-20 07:30Dear Chan Ching Man, your reservation with SK Rent-a-Car is successfully made.Your reservation details are listed below.Please check the required documents that must be presented at the time of pickup. Reservation InformationReservation Number250001882940Pickup Date and Time2025-09-20 07:30Return Date and Time2025-09-28 06:00Rental CarIoniq 6 Long RangeInsuranceFull CDWTotal paymentKRW 740470Information on charging for electric vehiclesCharging fees must be paid when you return.It is based on the actual distance traveled.※Charging fees = (arrival mileage - departure mileage) x charging rateMy ReservationsLocation InformationLocationJeju branchLocation Address44 Gonghang-ro 1-gil, Jeju-si, Jeju-do nullBusiness hoursPickup07:30 ~ 22:00 Return06:00 ~ 21:00Phone number+82-1599-9111Shuttle Bus InformationWe operate free shuttle buses from Jeju Airport to SK Rent-a-Car Jeju Branch (at 6-minute intervals).Jeju Airport Gate No.5 → Across the street to take shuttle bus Zone 1-2Shuttle Bus Information mapMore DetailsDocuments required on the day of pickup1. International Driving Permit (IDP)The IDP must be less than 1 year from issuance, issued from an embassy or consulate, and the country must be registered to the Geneva or Vienna Convention.Only paper IDPs are accepted, and plastic driver's licenses are not valid.A local license translated to English cannot substitute the IDP.EU Driver’s license, International Drive License and International Driving Document is not accepted in Korea.2. Home Country Driver's License (Local Driver's License)To verify the driver's driving experience.3. PassportThe English name on the passport and IDP must match.4. A credit card in your nameRental RequirementsCategoryCars up to 9 seatsCars with at least 10 seatsLicense1)Exchanged Korean Driver's License Class 2 or above2)IDP Class ""B""3)U.S. Forces Korea Driver's License1)Exchanged Korean Driver's License Class 1 or above2)IDP Class ""D""Age21 years or older26 years or olderTo utilize the vehicle, it is necessary to adhere to the rental regulations.Please refer to the link below for detailed regulations.More DetailsCancellation and Refund PolicyCancellation DateRefund PolicyMore than 72 hours before departureFull refundLess than 72 hours before departure80% refund of rental feeNo-show70% refund of rental fee(*A reservation is considered a no-show if 2 hours have passed from the rental time)How to add a driverUp to 3 drivers, including the primary driver, can be added for free at the pickup location.Additional drivers should also present their IDP, home country driver's license (local driver's license), and passport.Customer ServiceView FAQ  (+82) 1599-9111(English : Press ⑥)Weekdays 09:00 - 18:00This email is for sending onlyIf you have any questions, please check the [Customer Service]",旅行
2025-09-20,08:30,08:45,車,,https://naver.me/FhfdiSvM,旅行
2025-09-20,09:00,12:00,6F 濟州島君悅酒店汗蒸幕 ,"濟州島君悅酒店汗蒸幕, 大韓民國 Jeju-do, Cheju, 특별자치도, Noyeon-ro, 12 6층","https://naver.me/FvEgX3Dm汗蒸室在奢華的濟州島君悅酒店尊享汗蒸籠，享受精緻的放鬆體驗。溫暖的濟州島熔岩石地暖和四間主題理療室：紅土室、鹽室、柏木室和冰室，幫助您恢復活力。在我們配備冷熱水的豪華桑拿房中，緩解疲勞，感受身心的寧靜。享受促進肌肉放鬆和血液循環的乾身護理，以及清涼的飲料和小吃。*8歲以下兒童謝絕入內。8至15歲兒童必須由同性別的父母或監護人陪同。位置：L6。營業時間：每日上午7:00至午夜12:00。諮詢電話：064-795-6200。汗蒸室指南下載水療價格成人價格：每人 30,000 韓元兒童價格：每人 15,000 韓元幹體護理：150,000 韓元（60 分鐘）椅子療法：25,000 韓元（15 分鐘）",旅行
2025-09-20,12:00,12:05,車,,https://naver.me/xxFYP2ux,旅行
2025-09-20,12:00,13:00,炸豬排 카츠쿠 제주본점,"카츠쿠 제주본점, 大韓民國 Jeju-do, Cheju, Nohyeong 11-gil, 16 2층","https://naver.me/G4WoP4aL

黑豬什錦套餐
濟州黑豬西冷肉和里肌肉 / 炭烤（限量20份）

黑豬裡肌肉套餐
濟州黑豬西冷肉 / 炭烤（限量20份）

黑豬裡肌肉套餐
濟州黑豬西冷肉 / 炭烤（限量20份）",旅行
2025-09-20,13:00,13:30,車,,https://naver.me/5GGpONhf,旅行
2025-09-20,13:30,14:15,Tribe 橘子舒芙蕾,"Tribe, 大韓民國 Jeju-do, Cheju, 특별자치도, Aewol-eup, Aewol-ro, 11 KR",https://place.map.kakao.com/1663905835https://naver.me/G65riP5X,旅行
2025-09-20,14:15,15:00,Handammol,"Handammol, 大韓民國 Jeju-do, Cheju, 특별자치도, Aewol-ro 1-gil, 7 KR",https://naver.me/5mIWXKRx,旅行
2025-09-20,15:00,15:30,車,,https://naver.me/xOdI4h9D,旅行
2025-09-20,15:30,16:45,Sinchang Windmill Coastal Road,"Sinchang Windmill Coastal Road, 1323 Sinchang-ri, Hangyeong-myeon, Cheju, Jeju-do, 大韓民國","https://naver.me/xI1J2n0d

🚴單座電動自行車（40分鐘）
10,000韓元
🛵 單座電動自行車（40分鐘）
10,000韓元
🛵 雙座電動自行車（40分鐘）
15,000韓元
🚴單座電動自行車（60分鐘）
15,000韓元
🛵 單座電動自行車（60分鐘）
15,000韓元
🛵 雙座電動自行車（60分鐘）
20,000韓元
🚴單座電動自行車（90分鐘）
20,000韓元
🛵 單座電動自行車（90分鐘）
20,000韓元
🛵 雙座電動自行車（90分鐘）
25,000韓元",旅行
2025-09-20,14:30,15:45,翰林公園,"翰林公園, 300 Hallim-ro, Hallim-eup, Cheju, Jeju-do, 大韓民國",,Rain Plan
2025-09-20,16:45,17:00,車,,https://naver.me/5owXRZJB,旅行
2025-09-20,17:00,18:15,鰻魚倉庫 장어창고 ,"장어창고, 146 Dusin-ro, Hangyeong-myeon, 특별자치도, Cheju, Jeju-do, 大韓民國",https://naver.me/513NsJoH,旅行
2025-09-20,18:15,18:30,車,,https://naver.me/5f5PQx2t,旅行
2025-09-20,18:30,19:30,熔岩咖啡店,"熔岩咖啡店, 63-10 Jangwon-gil, Hallim-eup, 특별자치도 Cheju, 제주 大韓民國",https://naver.me/5z5EXi71https://www.facebook.com/groups/1786387618325039/posts/%E6%8F%9B%E4%B9%98%E6%88%80%E6%84%9B%E5%90%8C%E6%AC%BE-flowave%E6%94%BB%E7%95%A5%E0%B7%86-%E1%B5%95%E5%9B%A0%E7%82%BA%E7%B6%B2%E7%B5%A1%E4%B8%8A%E6%AF%94%E8%BC%83%E5%B0%91%E7%9B%B8%E9%97%9C%E8%B3%87%E8%A8%8A%E5%B0%8E%E8%87%B4%E6%88%91%E5%8E%BB%E7%9A%84%E6%99%82%E5%80%99%E6%85%8C%E6%85%8C%E5%BC%B5%E5%BC%B5%E7%9A%84%E4%B9%9F%E5%BE%88%E6%90%9E%E4%B8%8D%E6%B8%85%E6%A5%9A%E7%8B%80%E6%B3%81%E6%89%80%E4%BB%A5%E4%B8%8A%E4%BE%86%E5%88%86%E4%BA%AB%E7%B5%A6%E6%83%B3%E5%8E%BB%E7%9A%84%E6%9C%8B%E5%8F%8B%E5%80%91%EA%94%9B%E4%BB%A5%E4%B8%8B%E8%B3%87%E8%A8%8A%E5%83%85%E9%99%90%E6%99%9A%E9%96%93%E6%97%A9%E4%B8%8A%E5%A6%82%E6%9E%9C%E8%A6%81%E5%8E%BB%E7%9A%84/3353107414986377/,旅行
